# Top IPs from data gathered in last 24 hours only,2023-03-17
Number,IP address,Rating
0,91.205.93.69,0.2715024389111689
1,46.29.227.46,0.0877552105897708
2,178.132.2.17,0.0515530694608095
3,80.82.78.27,0.0500988712898562
4,92.63.197.97,0.049529387543553
5,185.45.194.176,0.0484718534801373
6,190.2.141.8,0.041326314507641
7,164.92.198.87,0.0303247403433457
8,49.88.112.72,0.0284936014245966
9,190.2.144.119,0.0262587303794595
10,158.69.252.241,0.0260076631686587
11,147.135.36.161,0.0252715362363504
12,38.132.103.114,0.0252301361192132
13,185.100.233.230,0.0236763307313078
14,79.124.62.110,0.0201984476985357
15,95.216.54.131,0.0164265390328842
16,178.63.103.76,0.0162730216862886
17,49.88.112.118,0.0160862513379949
18,176.9.110.8,0.0159146914031224
19,45.143.203.5,0.0152435994244135
20,79.124.62.130,0.015076446521689
21,79.124.62.82,0.0150759548830401
22,103.133.109.97,0.0148318578042371
23,95.216.60.75,0.0146998478355086
24,79.124.62.86,0.0141589926224574
25,80.82.64.146,0.0128753144400885
26,5.9.13.126,0.0128696283523405
27,218.92.0.206,0.0119816051079272
28,212.8.250.174,0.0119530054750893
29,142.250.102.188,0.0119327329606036
30,142.250.27.188,0.0117744882486725
31,20.8.115.72,0.0112063435281125
32,193.32.162.159,0.0108194477619407
33,79.124.62.78,0.010818330388487
34,74.84.96.66,0.0091575459768484
35,5.39.216.130,0.0090653496405141
36,103.145.13.48,0.0086124756366043
37,103.114.104.69,0.0084902887828407
38,49.88.112.73,0.0082256920077419
39,45.141.84.10,0.0080916018252087
40,185.7.214.244,0.0080383297132299
41,45.130.53.18,0.0079786973472798
42,89.248.165.97,0.0077915263607625
43,185.7.214.242,0.0077400011911965
44,54.229.177.243,0.0073851298307411
45,146.88.240.4,0.0071412239176876
46,104.156.155.11,0.0070906636558081
47,195.54.160.155,0.0070734634741816
48,185.156.73.120,0.007037720243034
49,104.156.155.10,0.006945955817325
50,80.82.64.114,0.0068437401983334
51,103.151.122.202,0.0068190532295789
52,20.8.118.61,0.0064302571157923
53,164.132.207.52,0.0063932163788245
54,15.204.163.86,0.0063777279838988
55,79.124.62.34,0.006149353049194
56,45.143.200.50,0.0060611479058541
57,190.202.116.26,0.0059824132684033
58,92.63.197.110,0.005854064428864
59,45.141.84.126,0.0057729152343601
60,80.94.92.57,0.0057632714752083
61,5.9.13.187,0.0056549317937598
62,45.145.227.18,0.0055355574838746
63,190.2.138.31,0.0055056234815677
64,141.95.84.21,0.0053468868583033
65,204.74.235.78,0.005332258519653
66,185.156.73.57,0.0052777378739525
67,146.0.74.161,0.0051570841442867
68,46.17.102.30,0.0050966076450907
69,212.8.253.19,0.0050301986393248
70,89.248.165.124,0.0049561204224034
71,203.167.34.213,0.0049208517811462
72,51.91.214.156,0.0049125305754916
73,103.252.88.88,0.0049037267862526
74,78.128.219.10,0.0048374354987058
75,173.194.69.188,0.0046784580752817
76,217.23.13.37,0.0046720420136696
77,194.88.106.146,0.0046716203925743
78,104.156.155.9,0.0046294285010711
79,103.207.39.148,0.004595796723794
80,78.31.67.221,0.0045801926408011
81,63.141.234.82,0.0045407801387448
82,74.91.123.84,0.0045084464551891
83,104.156.155.2,0.0044657322618923
84,218.75.31.110,0.0044065788338869
85,147.135.73.11,0.0043681648900464
86,73.223.220.239,0.0042893297429905
87,89.248.165.132,0.0042366892215145
88,91.218.115.175,0.0042143098371956
89,203.10.98.5,0.0041933291862931
90,135.148.148.247,0.0041905619343745
91,45.146.165.171,0.0041764198763985
92,20.4.63.66,0.0041605743503296
93,89.39.105.84,0.0041070784067955
94,194.156.91.242,0.0041065328446922
95,20.4.63.71,0.0040144034324497
96,52.160.249.106,0.0039974626904799
97,213.226.123.61,0.0039807251822337
98,218.92.0.207,0.0039612816178083
99,200.119.210.154,0.0039595902424083
100,89.248.165.46,0.0039295030878116
101,198.144.159.22,0.0039104061870935
102,20.73.210.144,0.0039041509140564
103,51.210.222.207,0.0039035874010731
104,45.95.147.34,0.003894117458068
105,128.116.77.45,0.0038811166084128
106,87.98.230.248,0.0038646988219969
107,198.144.159.110,0.0038481734139144
108,152.69.214.110,0.0037543431647486
109,139.99.39.110,0.0037341495597413
110,135.125.188.137,0.0036928425126825
111,213.32.6.64,0.0036758096060176
112,49.88.112.77,0.0036372235706582
113,49.88.112.116,0.0036167906251722
114,178.17.171.194,0.0035892360494064
115,144.217.170.113,0.0035455904860475
116,217.182.27.227,0.0035436284235864
117,109.236.84.194,0.0035038263785354
118,162.251.61.34,0.0034566729108934
119,20.8.119.202,0.00337535846673
120,190.2.137.174,0.0033722564543941
121,178.32.80.148,0.0033445792208724
122,185.156.73.91,0.0033331571120749
123,103.141.138.249,0.0033186744601404
124,20.8.119.198,0.0032519889964826
125,51.81.81.188,0.0032511514127042
126,89.248.163.207,0.0032309677192888
127,5.196.171.204,0.0032215611321772
128,51.161.136.131,0.0032094969108717
129,20.4.7.128,0.0031864881118741
130,45.145.227.46,0.0031816248586942
131,20.8.118.62,0.0031553242142546
132,20.8.119.206,0.0031544453927731
133,190.2.133.181,0.0030582256804519
134,205.205.150.45,0.0030187134432134
135,185.153.196.230,0.0029980070372489
136,91.210.107.28,0.0029870135804222
137,141.105.67.7,0.0029582565459277
138,61.177.173.24,0.0029278583572677
139,52.212.28.99,0.0029235499282243
140,20.8.115.65,0.0029048601586815
141,89.248.165.104,0.0028774443629275
142,162.244.54.156,0.0028676332832857
